mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,manufacturer,brand
26,4,96,69,2189,18,72,European,"	renault 12 (sw)","	renault","	renault"
37.3,4,91,69,2130,14.7,79,European,"	fiat strada custom","	fiat","	fiat"
31.5,4,98,68,2045,18.5,77,Japanese,"	honda accord cvcc","	honda","	honda"
30,4,98,68,2155,16.5,78,American,"	chevrolet chevette","	chevrolet","	chevrolet"
29.5,4,98,68,2135,16.6,78,Japanese,"	honda accord lx","	honda","	honda"
34.1,4,91,68,1985,16,81,Japanese,"	mazda glc 4","	mazda","	mazda"
37,4,91,68,2025,18.2,82,Japanese,"	mazda glc custom l","	mazda","	mazda"
31,4,91,68,1970,17.6,82,Japanese,"	mazda glc custom","	mazda","	mazda"
31,4,79,67,1950,19,74,Japanese,"	datsun b210","	datsun","	datsun"
26,4,79,67,1963,15.5,74,European,"	volkswagen dasher","	volkswagen","	volkswagen"
31,4,79,67,2000,16,74,European,"	fiat x1.9","	fiat","	fiat"
30,4,97,67,1985,16.4,77,Japanese,"	subaru dl","	subaru","	subaru"
36.4,5,121,67,2950,19.9,80,European,"	audi 5000s (diesel)","	audi","	audi"
30,4,146,67,3250,21.8,80,European,"	mercedes-benz 240d","	mercedes-benz","	mercedes-benz"
44.6,4,91,67,1850,13.8,80,Japanese,"	honda civic 1500 gl","	honda","	honda"
33.8,4,97,67,2145,18,80,Japanese,"	subaru dl","	subaru","	subaru"
32.3,4,97,67,2065,17.8,81,Japanese,"	subaru",subaru,subaru
38,4,91,67,1965,15,82,Japanese,"	honda civic","	honda","	honda"
32,4,91,67,1965,15.7,82,Japanese,"	honda civic (auto)","	honda","	honda"
38,4,91,67,1995,16.2,82,Japanese,"	datsun 310 gx","	datsun","	datsun"
36.1,4,98,66,1800,14.4,78,American,"	ford fiesta","	ford","	ford"
31,4,71,65,1773,19,71,Japanese,"	toyota corolla 1200","	toyota","	toyota"
32,4,71,65,1836,21,74,Japanese,"	toyota corolla 1200","	toyota","	toyota"
34.1,4,86,65,1975,15.2,79,Japanese,"	maxda glc deluxe","	maxda","	maxda"
31.8,4,85,65,2020,19.2,79,Japanese,"	datsun 210","	datsun","	datsun"
37.2,4,86,65,2019,16.4,80,Japanese,"	datsun 310","	datsun","	datsun"
46.6,4,86,65,2110,17.9,80,Japanese,"	mazda glc","	mazda","	mazda"
40.8,4,85,65,2110,19.2,80,Japanese,"	datsun 210","	datsun","	datsun"
37,4,85,65,1975,19.4,81,Japanese,"	datsun 210 mpg","	datsun","	datsun"
34.4,4,98,65,2045,16.2,81,American,"	ford escort 4w","	ford","	ford"
29.9,4,98,65,2380,20.7,81,American,"	ford escort 2h","	ford","	ford"
39,4,86,64,1875,16.4,81,American,"	plymouth champ","	plymouth","	plymouth"
30.5,4,98,63,2051,17,77,American,"	chevrolet chevette","	chevrolet","	chevrolet"
34.7,4,105,63,2215,14.9,81,American,"	plymouth horizon 4","	plymouth","	plymouth"
38,4,105,63,2125,14.7,82,American,"	plymouth horizon miser","	plymouth","	plymouth"
29.8,4,89,62,1845,15.3,80,European,"	vokswagen rabbit","	vokswagen","	vokswagen"
37.7,4,89,62,2050,17.3,81,Japanese,"	toyota tercel","	toyota","	toyota"
32,4,83,61,2003,19,74,Japanese,"	datsun 710","	datsun","	datsun"
27,4,97,60,1834,19,71,European,"	volkswagen model 111","	volkswagen","	volkswagen"
24.5,4,98,60,2164,22.1,76,American,"	chevrolet woody","	chevrolet","	chevrolet"
36.1,4,91,60,1800,16.4,78,Japanese,"	honda civic cvcc","	honda","	honda"
38.1,4,89,60,1968,18.8,80,Japanese,"	toyota corolla tercel","	toyota","	toyota"
35.1,4,81,60,1760,16.1,81,Japanese,"	honda civic 1300","	honda","	honda"
36,4,79,58,1825,18.6,77,European,"	renault 5 gtl","	renault","	renault"
39.1,4,79,58,1755,16.9,81,Japanese,"	toyota starlet","	toyota","	toyota"
23,4,97,54,2254,23.5,72,European,"	volkswagen type 3","	volkswagen","	volkswagen"
33,4,91,53,1795,17.5,75,Japanese,"	honda civic cvcc","	honda","	honda"
33,4,91,53,1795,17.4,76,Japanese,"	honda civic","	honda","	honda"
31,4,76,52,1649,16.5,74,Japanese,"	toyota corona","	toyota","	toyota"
29,4,85,52,2035,22.2,76,American,"	chevrolet chevette","	chevrolet","	chevrolet"
32.8,4,78,52,1985,19.4,78,Japanese,"	mazda glc deluxe","	mazda","	mazda"
44,4,97,52,2130,24.6,82,European,"	vw pickup","	vw","	vw"
29,4,68,49,1867,19.5,73,European,"	fiat 128","	fiat","	fiat"
43.1,4,90,48,1985,21.5,78,European,"	volkswagen rabbit custom diesel","	volkswagen","	volkswagen"
44.3,4,90,48,2085,21.7,80,European,"	vw rabbit c (diesel)","	vw","	vw"
43.4,4,90,48,2335,23.7,80,European,"	vw dasher (diesel)","	vw","	vw"
26,4,97,46,1835,20.5,70,European,"	volkswagen 1131 deluxe sedan","	volkswagen","	volkswagen"
26,4,97,46,1950,21,73,European,"	volkswagen super beetle","	volkswagen","	volkswagen"
