mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,brand,manufacturer,name
34.7,4,105,63,2215,14.9,81,1,26,"	plymouth","	plymouth horizon 4"
38,4,105,63,2125,14.7,82,1,26,"	plymouth","	plymouth horizon miser"
29.8,4,89,62,1845,15.3,80,2,34,"	vokswagen","	vokswagen rabbit"
37.7,4,89,62,2050,17.3,81,3,31,"	toyota","	toyota tercel"
32,4,83,61,2003,19,74,3,11,"	datsun","	datsun 710"
27,4,97,60,1834,19,71,2,35,"	volkswagen","	volkswagen model 111"
24.5,4,98,60,2164,22.1,76,1,8,"	chevrolet","	chevrolet woody"
36.1,4,91,60,1800,16.4,78,3,16,"	honda","	honda civic cvcc"
38.1,4,89,60,1968,18.8,80,3,31,"	toyota","	toyota corolla tercel"
35.1,4,81,60,1760,16.1,81,3,16,"	honda","	honda civic 1300"
36,4,79,58,1825,18.6,77,2,28,"	renault","	renault 5 gtl"
39.1,4,79,58,1755,16.9,81,3,31,"	toyota","	toyota starlet"
23,4,97,54,2254,23.5,72,2,35,"	volkswagen","	volkswagen type 3"
33,4,91,53,1795,17.5,75,3,16,"	honda","	honda civic cvcc"
33,4,91,53,1795,17.4,76,3,16,"	honda","	honda civic"
31,4,76,52,1649,16.5,74,3,31,"	toyota","	toyota corona"
29,4,85,52,2035,22.2,76,1,8,"	chevrolet","	chevrolet chevette"
32.8,4,78,52,1985,19.4,78,3,18,"	mazda","	mazda glc deluxe"
44,4,97,52,2130,24.6,82,2,37,"	vw","	vw pickup"
29,4,68,49,1867,19.5,73,2,13,"	fiat","	fiat 128"
43.1,4,90,48,1985,21.5,78,2,35,"	volkswagen","	volkswagen rabbit custom diesel"
44.3,4,90,48,2085,21.7,80,2,37,"	vw","	vw rabbit c (diesel)"
43.4,4,90,48,2335,23.7,80,2,37,"	vw","	vw dasher (diesel)"
26,4,97,46,1835,20.5,70,2,35,"	volkswagen","	volkswagen 1131 deluxe sedan"
26,4,97,46,1950,21,73,2,35,"	volkswagen","	volkswagen super beetle"
